,Year 2000,Year 2001,Year 2002,Year 2003,Year 2004,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010
Consumer,0,1,0,0,0,0,0,0,0,0,5
Distribution,0,0,0,1,0,2,0,0,0,0,0
Export,0,0,1,42,14,1,0,0,0,0,0
Grading,0,0,0,0,0,0,0,0,0,6,0
Harvest,77,10,37,49,22,2,60,137,624,116,28
Packaging,0,0,0,0,0,0,0,0,0,9,0
Parameter Estimate,0,0,46,0,0,0,0,0,0,0,0
Pre-Harvest,0,0,0,0,0,0,0,0,0,0,2
Processing,0,12,9,10,9,0,1,2,0,0,16
Producer,461,28,78,188,89,10,142,95,0,62,87
Retail,5,11,7,25,9,0,14,8,0,15,12
Stacking,0,0,0,5,0,0,0,0,0,0,0
Storage,276,7,32,79,40,1,74,39,2,27,34
Supply Chain,184,1075,793,985,925,1077,1058,734,755,799,889
Traders,0,0,4,21,2,0,0,0,0,0,6
Transport,2,15,12,61,31,3,29,22,0,9,21
Wholesale,4,16,14,54,18,3,37,31,0,9,22